Landroid/os/ProfilingTrigger;->getRateLimitingPeriodHours()I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTrigger;->getTriggerType()I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTriggerValueParcel$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTriggerValueParcel$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTriggerValueParcel;->describeContents()I,public-api,sdk,system-api,test-api
Landroid/os/ProfilingTriggerValueParcel;->writeToParcel(Landroid/os/Parcel;I)V,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/AnomalyDetectorFrameworkInitializer$$ExternalSyntheticLambda0;->createService(Landroid/content/Context;Landroid/os/IBinder;)Ljava/lang/Object;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/AnomalyDetectorManager$$ExternalSyntheticLambda0;->accept(Ljava/lang/Object;)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/AnomalyDetectorManager;->setAnomalyDetectorRules(Ljava/util/Set;)V,sdk,system-api,test-api
Landroid/os/profiling/anomaly/IAnomalyDetectorService$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/IAnomalyDetectorService$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/IAnomalyDetectorService$Stub;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/IAnomalyDetectorService$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule$Builder;-><init>()V,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule$Builder;->addAnomalyAction(I)Landroid/os/profiling/anomaly/Rule$Builder;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule$Builder;->build()Landroid/os/profiling/anomaly/Rule;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule$Builder;->setConditionType(Ljava/lang/String;)Landroid/os/profiling/anomaly/Rule$Builder;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule$Builder;->setName(Ljava/lang/String;)Landroid/os/profiling/anomaly/Rule$Builder;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule$Builder;->setRuleCondition(Landroid/os/Bundle;)Landroid/os/profiling/anomaly/Rule$Builder;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->ACTION_TYPE_LOG:I,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->BUNDLE_KEY_CONDITION_BINDER_SPAM_BINDER_CALL_INTERVAL_MILLIS:Ljava/lang/String;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->BUNDLE_KEY_CONDITION_BINDER_SPAM_CALL_LIMIT:Ljava/lang/String;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->BUNDLE_KEY_CONDITION_BINDER_SPAM_INTERFACE_NAME:Ljava/lang/String;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->BUNDLE_KEY_CONDITION_BINDER_SPAM_METHOD_NAME:Ljava/lang/String;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->CONDITION_TYPE_BINDER_SPAM:Ljava/lang/String;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->getAnomalyActions()Ljava/util/List;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->getConditionType()Ljava/lang/String;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->getName()Ljava/lang/String;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/Rule;->getRuleCondition()Landroid/os/Bundle;,sdk,system-api,test-api
Landroid/os/profiling/anomaly/RuleInternal;->ACTION_TYPE_COLLECT_PROFILE:I,sdk,system-api,test-api
Landroid/os/profiling/anomaly/RuleInternal;->equals(Ljava/lang/Object;)Z,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/RuleInternal;->hashCode()I,core-platform-api,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/RuleParcel$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/RuleParcel$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/RuleParcel;->describeContents()I,public-api,sdk,system-api,test-api
Landroid/os/profiling/anomaly/RuleParcel;->writeToParcel(Landroid/os/Parcel;I)V,public-api,sdk,system-api,test-api
